date,open,high,low,close,volume
2022-08-18,118.999,120.383,118.291,119.736,18052867
2022-08-19,118.63,118.719,116.338,116.787,21888589
2022-08-22,114.784,115.212,113.438,113.828,21534430
2022-08-23,113.065,114.595,113.02,113.448,15927904
2022-08-24,113.09,114.365,112.463,113.28,17798913
2022-08-25,113.823,116.298,113.698,116.229,17018264
2022-08-26,114.305,114.705,109.792,109.942,37380716
2022-08-29,109.592,110.549,108.407,109.025,21267977
2022-08-30,109.772,110.101,107.41,108.547,27612993
2022-08-31,110.251,110.449,107.74,107.829,28730747
2022-09-01,107.889,110.046,106.972,109.344,28463737
2022-09-02,110.191,110.34,106.873,107.46,24248296
2022-09-06,106.912,107.64,105.398,106.425,25159155
2022-09-07,106.673,109.582,106.513,109.055,23250949
2022-09-08,107.65,109.204,106.773,107.989,24326159
2022-09-09,108.671,110.589,108.627,110.251,23297736
2022-09-12,110.589,111.217,109.532,110.459,23050008
2022-09-13,107.41,107.909,103.714,103.943,38311251
2022-09-14,104.193,104.895,103.286,104.621,26490819
2022-09-15,103.654,104.89,101.981,102.538,34312219
2022-09-16,101.701,102.757,100.575,102.429,42952316
2022-09-19,101.382,102.957,101.184,102.698,23120321
2022-09-20,101.711,102,100.157,100.775,26613250
2022-09-21,101.302,102.509,98.9114,98.9214,31601409
2022-09-22,98.4631,100.874,98.4331,99.778,34422954
2022-09-23,99.2701,99.3001,97.118,98.3833,31740082
2022-09-26,97.7456,99.5192,97.4467,97.8155,27170803
2022-09-27,99.0709,99.6388,96.5221,97.1478,30181797
2022-09-28,97.2973,100.337,96.7593,99.6887,32584016
2022-09-29,98.2837,98.2837,95.6134,97.0681,31159773
2022-09-30,96.6994,98.5428,95.2149,95.3045,33060909
2022-10-03,96.4105,98.9286,96.1723,98.2837,28083468
2022-10-04,100.077,101.472,100.017,101.272,28955359
2022-10-05,99.4645,101.562,98.4431,101.064,22257296
2022-10-06,100.317,102.553,100.227,101.054,22404915
2022-10-07,99.4893,100.167,97.94,98.3236,27602465
2022-10-10,98.6424,98.737,96.6596,97.5066,18291161
2022-10-11,97.078,98.8865,95.9621,96.829,26603193
2022-10-12,96.9486,98.3933,96.3856,97.2077,21955666
2022-10-13,94.8063,99.4146,94.0427,98.7022,34699885
2022-10-14,99.6288,100.327,96.0219,96.2112,25502790
2022-10-17,98.5029,100.565,98.473,99.6089,28522214
2022-10-18,102.757,103.096,99.6089,100.406,24147893
2022-10-19,99.6487,100.653,98.5628,99.2701,23897381
2022-10-20,99.6388,101.951,99.031,99.6089,25415001
2022-10-21,97.4916,100.944,97.367,100.765,32576388
2022-10-24,101.432,102.379,99.6189,102.149,27274934
2022-10-25,102.528,104.441,102.349,104.103,40758595
2022-10-26,96.0818,97.9549,94.348,94.5871,88599062
2022-10-27,94.1786,95.0853,91.4685,91.8869,60930942
2022-10-28,91.9367,96.2012,91.7972,95.9421,43855693
2022-10-31,95.0753,95.6831,93.6406,94.1687,31789861
2022-11-01,95.1053,95.6831,90.0436,90.1432,47332315
2022-11-02,90.6115,90.8507,86.5662,86.6559,57245051
2022-11-03,86.0081,86.2075,83.039,83.1287,61510194
2022-11-04,85.0916,86.3271,83.4076,86.2672,51310236
2022-11-07,86.9647,88.5789,86.5362,88.1705,34202451
2022-11-08,88.5789,89.9938,87.2738,88.5789,30539333
2022-11-09,88.1305,89.112,86.9647,87.0046,31884265
2022-11-10,91.9168,94.0491,91.2791,93.6007,51807264
2022-11-11,94.348,96.5799,93.5808,96.0618,33210438
2022-11-14,94.7465,96.4404,94.1687,95.3543,30288942
2022-11-15,97.9051,99.778,96.3607,98.0844,41791768
2022-11-16,97.5464,99.2776,97.2874,98.493,29210663
2022-11-17,96.6197,98.9214,96.4404,98.0047,26147042
2022-11-18,98.4133,98.5428,96.0219,97.078,28445040
2022-11-21,96.9386,98.0445,95.0106,95.2547,21725860
